,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
685114,264,1,15-12-2014,1326,1,1,0,0,11922
561112,532,7,24-02-2013,0,0,0,0,0,0
592287,935,7,17-03-2013,0,0,0,0,0,0
451542,779,2,10-02-2015,634,1,0,0,1,5379
531301,144,3,24-04-2013,582,1,1,0,0,5842
430389,262,6,27-12-2014,3236,1,0,0,0,20005
119064,910,1,16-03-2015,753,1,1,0,0,8213
304309,53,3,31-07-2013,747,1,1,0,1,7920
93599,643,5,29-05-2015,1243,1,0,0,0,10413
50163,712,4,21-03-2013,576,1,1,0,0,6354
566157,488,4,21-05-2015,367,1,1,0,0,3349
325654,352,3,30-01-2013,517,1,0,0,0,5038
608158,189,1,23-02-2015,666,1,0,0,0,6158
220338,321,5,25-04-2014,501,1,0,0,1,4651
41175,412,1,28-10-2013,576,1,0,0,1,7050
417404,25,4,25-07-2013,1331,1,0,0,1,8231
587103,66,3,01-07-2015,468,1,1,0,0,5586
12259,530,7,03-11-2013,0,0,0,0,0,0
509995,728,6,28-06-2014,493,1,0,0,0,6114
652271,924,1,06-01-2014,636,1,1,0,1,8010
208830,999,2,12-08-2014,549,1,0,0,1,6549
87338,913,6,23-08-2014,951,1,0,0,0,6651
168432,459,1,06-05-2013,1160,1,0,0,0,8292
324256,630,7,06-01-2013,0,0,0,0,0,0
188243,1052,6,12-07-2014,546,1,0,0,0,5212
91962,224,7,08-03-2015,0,0,0,0,0,0
81310,393,5,07-11-2014,644,1,1,0,0,6560
646489,245,3,06-08-2014,1074,1,1,0,1,9156
89461,675,4,12-12-2013,630,1,0,0,0,5195
500285,862,1,08-04-2013,1466,1,1,0,1,11668
500934,120,4,16-07-2015,610,1,1,0,0,6999
116473,600,6,25-05-2013,566,1,0,0,0,5507
471116,576,1,07-10-2013,1191,1,1,0,1,9691
2059,570,1,04-02-2013,1246,1,1,0,0,10391
157797,626,1,04-05-2015,1031,1,1,0,0,13203
107099,1084,3,06-11-2013,764,1,1,0,0,5572
318220,976,3,04-06-2014,842,1,1,0,0,9590
448392,1064,1,16-02-2015,503,1,1,0,0,4876
28722,552,2,17-02-2015,781,1,1,0,0,9381
457673,533,6,01-06-2013,576,1,0,0,0,6643
401790,1065,5,18-01-2013,480,1,0,0,0,3529
586334,501,5,18-01-2013,537,1,0,0,0,4470
557353,1070,2,22-04-2014,855,1,0,0,1,6086
524691,448,6,13-12-2014,602,1,0,0,0,7317
123457,1051,3,25-02-2015,911,1,0,0,0,6101
388750,484,6,02-11-2013,966,1,0,0,0,10756
531409,187,3,14-01-2015,700,1,1,0,0,6298
20727,507,3,18-09-2013,553,1,0,0,0,5606
576406,113,1,23-09-2013,795,1,1,0,0,8526
470747,181,5,20-02-2015,698,1,1,0,1,7225
380104,639,3,19-02-2014,562,1,1,0,0,5648
247382,1093,2,26-11-2013,737,1,0,0,0,7186
411800,164,1,07-04-2014,620,1,0,0,0,5427
590524,1096,2,01-04-2014,752,1,1,0,0,6782
357591,412,2,25-06-2013,527,1,0,0,0,6916
153738,72,6,02-03-2013,277,1,0,0,0,2439
654516,836,5,01-05-2015,0,0,1,a,0,0
156824,295,1,27-05-2013,767,1,1,0,1,6239
495840,390,6,12-01-2013,956,1,0,0,0,9628
8791,31,5,03-07-2015,607,1,1,0,0,6714
155930,785,2,19-05-2015,587,1,1,0,0,8370
560958,517,6,07-09-2013,343,1,0,0,0,3203
176650,894,5,07-06-2013,0,0,1,0,0,0
355557,906,3,03-07-2013,1347,1,1,0,0,12365
343267,442,6,12-07-2014,505,1,0,0,0,4533
40502,97,3,12-06-2013,579,1,0,0,0,4629
38269,455,3,06-11-2013,496,1,1,0,0,8212
163438,96,1,29-09-2014,772,1,1,0,0,8808
375983,256,2,04-03-2014,1965,1,1,0,0,19183
276524,172,1,15-06-2015,955,1,1,0,0,8305
540900,544,4,28-08-2014,1595,1,0,0,1,10502
350557,552,1,20-05-2013,0,0,0,a,0,0
508960,282,5,27-06-2014,616,1,0,0,0,3799
632916,373,5,11-07-2014,336,1,0,0,0,4513
477846,601,6,11-07-2015,425,1,0,0,0,5368
518131,654,5,06-12-2013,785,1,1,0,0,7322
601731,1062,7,13-01-2013,0,0,0,0,0,0
561273,649,3,29-10-2014,328,1,0,0,1,2931
56442,1030,4,10-01-2013,373,1,1,0,0,4194
1685,230,5,29-11-2013,1100,1,0,0,0,11030
551232,632,3,22-04-2015,819,1,0,0,0,5579
139721,604,6,15-02-2014,610,1,0,0,0,7934
684055,269,4,23-10-2014,1299,1,1,0,0,9534
299405,291,1,08-09-2014,780,1,0,0,0,6820
150942,180,1,09-09-2013,1099,1,1,0,0,10489
39554,147,6,31-05-2014,934,1,0,0,0,7956
596363,851,1,30-09-2013,422,1,0,0,0,4378
615523,602,3,14-01-2015,579,1,1,0,0,6256
7233,529,6,04-04-2015,1124,1,0,0,0,11545
51755,389,6,13-07-2013,807,1,0,0,0,6506
38488,125,6,21-03-2015,1045,1,0,0,0,7595
7490,385,4,30-07-2015,678,1,1,0,0,7699
503701,547,7,17-02-2013,0,0,0,0,0,0
30830,710,4,23-05-2013,309,1,0,0,1,3490
318390,94,3,22-04-2015,512,1,0,0,0,5762
595222,1035,7,31-05-2015,0,0,0,0,0,0
290139,30,4,06-02-2014,1061,1,1,0,0,7610
697241,336,5,19-12-2014,2381,1,1,0,0,18290
27878,803,5,03-10-2014,0,0,1,a,0,0
251834,1009,7,22-09-2013,0,0,0,0,0,0
108178,1114,2,02-06-2015,3419,1,1,0,0,25009
410792,183,3,24-04-2013,536,1,1,0,0,4126
177633,147,7,17-02-2013,0,0,0,0,0,0
610321,570,4,01-05-2014,0,0,1,a,0,0
455848,918,4,04-04-2013,513,1,0,0,1,4467
119532,92,3,01-04-2015,747,1,1,0,1,9355
671770,70,3,25-03-2015,577,1,0,0,1,5432
672039,1091,3,14-08-2013,764,1,1,0,0,9304
298221,532,1,26-01-2015,1490,1,1,0,0,13294
279078,657,6,02-02-2013,927,1,0,0,0,6368
157922,830,6,09-11-2013,283,1,0,0,0,3650
86462,650,6,14-09-2013,732,1,0,0,0,7036
631114,913,6,20-12-2014,1435,1,0,0,0,10645
44942,384,4,14-11-2013,1000,1,0,0,0,8019
380888,554,1,14-01-2013,426,1,0,0,0,3400
22657,283,1,13-05-2013,795,1,1,0,0,7745
315537,907,7,10-11-2013,0,0,0,0,0,0
319680,110,2,11-06-2013,671,1,0,0,0,4610
37260,803,1,25-02-2013,363,1,0,0,0,3916
173745,11,3,09-01-2013,1154,1,1,0,0,8458
178860,449,1,27-05-2013,1752,1,1,0,0,13972
703851,227,4,30-10-2014,558,1,0,0,0,5455
663300,328,3,15-07-2015,582,1,1,0,1,5571
260242,204,6,21-02-2015,409,1,0,0,0,4256
579642,15,7,30-06-2013,0,0,0,0,0,0
316313,328,4,04-04-2013,510,1,0,0,1,3591
525581,131,4,13-06-2013,519,1,0,0,0,4482
69252,649,4,22-01-2015,319,1,0,0,0,2600
679624,634,2,12-08-2014,580,1,0,0,1,5348
314942,505,1,21-01-2013,698,1,1,0,0,5720
353559,116,6,26-10-2013,543,1,0,0,0,4733
683750,577,1,27-01-2014,580,1,0,0,0,3993
607874,746,2,26-05-2015,570,1,0,0,0,6423
263284,617,7,26-07-2015,0,0,0,0,0,0
441310,752,5,19-12-2014,578,1,1,0,0,7378
224746,543,5,26-04-2013,236,1,1,0,0,3059
659767,862,6,14-09-2013,797,1,0,0,0,6179
111892,495,3,15-01-2014,292,1,0,0,0,3294
280587,656,3,06-05-2015,399,1,1,0,0,3428
355507,176,4,07-11-2013,620,1,1,0,0,5219
595584,587,5,06-03-2015,705,1,1,0,0,10150
517137,576,5,20-09-2013,737,1,0,0,0,4617
291312,149,5,23-01-2015,400,1,0,0,0,4672
170119,323,5,14-02-2014,651,1,0,0,0,7350
86197,530,7,07-06-2015,791,1,0,0,0,4311
235671,906,6,04-10-2014,1247,1,0,0,0,11570
419376,1046,6,09-11-2013,587,1,0,0,0,6950
233449,538,7,26-07-2015,0,0,0,0,0,0
378633,44,3,26-03-2014,627,1,0,0,0,4793
216921,913,2,17-09-2013,953,1,0,0,0,6369
242308,536,3,18-03-2015,832,1,1,0,0,7893
433589,461,1,11-03-2013,475,1,0,0,0,4361
62929,381,3,08-01-2014,1241,1,1,0,0,11777
336947,109,7,31-08-2014,0,0,0,0,0,0
466804,126,3,12-06-2013,460,1,0,0,0,4581
18100,907,4,20-02-2014,882,1,1,0,0,6439
670563,735,3,08-01-2014,747,1,1,0,0,8467
49804,49,1,18-08-2014,681,1,1,0,1,10984
408042,659,5,19-07-2013,703,1,1,0,1,6160
11690,676,3,01-01-2014,946,1,0,a,1,5755
203337,900,5,22-02-2013,490,1,1,0,0,4995
292515,818,1,18-08-2014,944,1,1,0,1,10653
350693,788,3,30-01-2013,1540,1,0,0,0,15055
263003,288,2,14-04-2015,429,1,1,0,0,5882
198161,717,5,10-07-2015,471,1,0,0,1,4290
48308,380,5,14-11-2014,1365,1,1,0,0,14049
690526,929,6,19-10-2013,550,1,0,0,0,3962
54216,313,2,01-01-2013,0,0,0,a,1,0
130933,47,5,06-06-2014,994,1,1,0,0,8266
645612,570,4,11-07-2013,563,1,0,0,0,4385
291846,530,5,10-04-2015,940,1,0,0,1,5171
386154,370,1,02-06-2014,852,1,1,0,0,12252
125624,188,3,03-07-2013,443,1,1,0,0,5552
649936,827,3,20-02-2013,992,1,1,0,0,8902
340827,327,3,13-05-2015,1005,1,0,0,0,8721
629302,1001,6,14-03-2015,407,1,0,0,0,3505
80083,956,2,02-04-2013,610,1,0,0,1,4396
502188,272,2,10-06-2014,660,1,0,0,0,5844
246205,559,2,30-04-2013,1293,1,1,0,0,11181
283391,370,6,12-01-2013,636,1,0,0,0,6831
356985,392,4,20-03-2014,786,1,1,0,0,7346
242188,659,2,03-09-2013,604,1,0,0,0,4588
187110,413,4,06-06-2013,987,1,1,0,0,8241
60019,893,2,06-05-2014,969,1,1,0,0,7805
102183,1098,3,19-06-2013,719,1,1,0,0,5485
319277,1083,6,28-02-2015,475,1,0,0,0,7221
492365,740,2,18-06-2013,512,1,1,0,0,7125
155568,736,4,12-03-2015,558,1,0,0,0,5341
194183,753,7,26-04-2015,0,0,0,0,0,0
174865,960,5,28-03-2014,437,1,0,0,0,4834
80687,510,7,03-03-2013,0,0,0,0,0,0
612156,394,4,10-04-2014,577,1,0,0,0,6658
375059,752,6,09-08-2014,278,1,0,0,0,2798
242428,865,6,11-04-2015,719,1,0,0,0,8559
56756,646,3,15-05-2013,752,1,1,0,0,5461
141607,920,6,02-02-2013,550,1,0,0,0,5797
170475,978,4,20-11-2014,1048,1,0,0,0,7470
301890,876,4,27-11-2014,1323,1,1,0,0,13030
289623,829,3,15-07-2015,786,1,1,0,0,6506
686233,983,3,13-05-2015,1152,1,0,0,0,7688
208259,383,4,05-02-2015,2307,1,1,0,0,19437
620817,61,7,21-12-2014,0,0,0,0,0,0
171994,98,4,19-12-2013,671,1,1,0,0,8554
533578,964,2,28-07-2015,1463,1,1,0,0,11689
491159,503,3,18-02-2015,433,1,1,0,0,6692
277918,730,3,14-01-2015,909,1,1,0,0,7428
651661,179,5,27-02-2015,891,1,0,0,0,7095
366295,858,5,24-05-2013,340,1,0,0,1,3655
337823,260,5,20-09-2013,810,1,0,0,0,5874
552215,964,5,24-10-2014,1424,1,1,0,0,9551
704892,336,4,17-07-2014,1960,1,1,0,0,13853
278257,657,1,08-09-2014,684,1,0,0,0,4837
410441,305,6,09-03-2013,469,1,0,0,0,4422
664520,456,1,09-09-2013,1217,1,1,0,0,9472
418249,44,7,15-02-2015,0,0,0,0,0,0
543675,880,5,25-10-2013,835,1,1,0,0,7657
654094,1001,7,31-08-2014,0,0,0,0,0,0
25083,1000,1,30-03-2015,762,1,1,0,1,10178
488147,406,7,20-04-2014,0,0,0,0,0,0
17520,307,1,20-07-2015,292,1,0,0,1,2374
461289,511,4,14-03-2013,785,1,0,0,0,5434
271089,553,3,22-05-2013,579,1,0,0,1,5752
674986,491,7,26-05-2013,0,0,0,0,0,0
350260,42,4,29-01-2015,1083,1,1,0,0,11389
593012,567,4,26-12-2013,0,0,0,c,1,0
696088,431,6,09-03-2013,802,1,0,0,0,7371
626212,251,7,21-12-2014,0,0,0,0,0,0
685839,828,7,12-10-2014,0,0,0,0,0,0
439567,452,5,13-02-2015,448,1,0,0,0,4351
276712,406,2,07-07-2015,439,1,0,0,0,5278
59200,902,3,12-02-2014,599,1,0,0,0,4400
160262,404,3,04-06-2014,691,1,1,0,0,6407
394656,546,2,14-10-2014,1673,1,0,0,0,13441
232233,969,3,04-09-2013,556,1,0,0,1,2953
60982,520,7,09-06-2013,0,0,0,0,0,0
225006,480,6,06-07-2013,323,1,0,0,0,2352
332607,295,3,11-12-2013,611,1,0,0,0,4620
532568,21,7,02-03-2014,0,0,0,0,0,0
429922,390,6,25-07-2015,886,1,0,0,0,8631
181999,291,1,10-06-2013,829,1,0,0,0,7755
669531,982,2,27-08-2013,844,1,1,0,0,9629
568567,213,3,20-08-2014,769,1,1,0,0,9359
693612,259,7,08-03-2015,2838,1,0,0,0,15988
88527,698,1,06-07-2015,2248,1,0,0,0,19130
241493,914,4,25-06-2015,982,1,0,0,0,7574
113919,333,4,06-06-2013,1439,1,1,0,0,10393
659835,528,7,16-03-2014,0,0,0,0,0,0
453517,1081,1,14-04-2014,1450,1,1,0,1,10918
41370,97,5,14-06-2013,684,1,0,0,0,5589
512598,159,7,19-01-2014,0,0,0,0,0,0
400101,738,2,17-09-2013,625,1,0,0,0,6866
649601,794,1,03-11-2014,635,1,1,0,0,3857
518942,670,4,21-03-2013,718,1,1,0,0,6796
79084,426,2,24-12-2013,367,1,0,0,1,2658
680606,1067,3,08-05-2013,565,1,0,0,0,6339
364207,586,2,06-01-2015,2544,1,1,0,1,17263
392636,13,6,06-07-2013,342,1,0,0,0,3809
368761,226,1,09-09-2013,877,1,1,0,0,9945
395525,697,1,30-06-2014,1670,1,1,0,0,23453
126095,444,5,31-10-2014,0,0,0,a,1,0
280528,448,1,25-05-2015,0,0,0,a,0,0
632637,895,7,15-12-2013,0,0,0,0,0,0
180293,877,2,28-10-2014,796,1,0,0,0,5180
412687,73,6,17-05-2014,250,1,0,0,0,2139
447033,362,1,02-12-2013,1608,1,1,0,0,14835
452933,670,3,06-11-2013,683,1,1,0,0,7081
527136,232,3,29-07-2015,369,1,1,0,1,4495
562442,269,6,03-01-2015,887,1,0,0,0,6365
90854,382,3,03-04-2013,520,1,0,0,0,5165
472306,764,3,13-08-2014,337,1,0,0,1,2930
416691,111,2,13-01-2015,624,1,1,0,0,7604
577054,755,4,13-02-2014,792,1,0,0,0,8865
277424,664,5,24-07-2015,571,1,0,0,1,4665
16687,573,6,24-01-2015,245,1,0,0,0,3086
518213,525,6,27-07-2013,753,1,0,0,0,8709
651458,297,4,20-06-2013,754,1,1,0,0,7650
37284,127,5,24-07-2015,549,1,0,0,0,3848
36641,786,5,06-12-2013,590,1,1,0,0,4007
168106,217,6,24-08-2013,560,1,0,0,0,3560
607939,931,5,13-09-2013,515,1,1,0,0,3793
299822,254,2,05-02-2013,267,1,1,0,0,3160
526443,47,7,27-04-2014,0,0,0,0,0,0
541262,621,4,20-03-2014,819,1,1,0,0,5712
53523,849,2,17-02-2015,896,1,1,0,0,9040
194676,1008,5,13-12-2013,789,1,0,0,0,5550
49532,640,1,14-04-2014,1160,1,1,0,1,17585
290191,618,7,08-03-2015,0,0,0,0,0,0
364930,149,5,03-04-2015,0,0,1,b,1,0
610465,981,7,02-03-2014,0,0,0,0,0,0
100921,607,5,20-02-2015,466,1,1,0,0,3994
675267,567,1,16-12-2013,1087,1,1,0,0,11203
456637,183,2,15-04-2014,759,1,1,0,1,5979
473125,615,6,14-02-2015,1318,1,0,0,0,9598
392824,360,2,24-09-2013,721,1,1,0,0,6712
178734,659,1,03-06-2013,994,1,1,0,0,8757
508776,1037,1,30-09-2013,898,1,0,0,0,7213
38948,635,7,28-07-2013,0,0,0,0,0,0
122139,239,7,15-12-2013,0,0,0,0,0,0
150865,383,7,06-04-2014,0,0,0,0,0,0
240338,476,3,01-10-2014,807,1,1,0,0,7534
386760,844,1,25-05-2015,0,0,0,a,0,0
468439,27,1,27-10-2014,950,1,0,0,0,6862
187892,406,5,17-04-2015,609,1,1,0,0,8436
396011,704,4,24-04-2014,986,1,0,0,1,8218
246199,390,4,31-07-2014,1148,1,1,0,1,14553
614395,601,6,17-05-2014,433,1,0,0,0,4781
709937,373,3,08-05-2013,318,1,0,0,0,4167
681769,426,5,21-02-2014,668,1,1,0,0,5466
555228,990,6,26-01-2013,509,1,0,0,0,5094
663790,106,2,21-04-2015,800,1,0,0,0,7199
504595,347,5,22-05-2015,490,1,1,0,0,6095
7251,995,6,28-09-2013,642,1,0,0,0,6950
271680,648,3,06-02-2013,617,1,1,0,1,6675
588646,1039,4,29-01-2015,934,1,1,0,0,7897
488416,564,7,05-01-2014,0,0,0,0,0,0
43456,910,4,04-07-2013,632,1,1,0,0,6636
593011,272,7,24-02-2013,0,0,0,0,0,0
491241,943,5,03-04-2015,0,0,1,b,1,0
241359,106,3,01-07-2015,964,1,1,0,0,10796
628881,320,6,03-08-2013,1791,1,0,0,0,12696
119691,60,7,15-09-2013,0,0,0,0,0,0
20339,606,7,07-04-2013,0,0,0,0,0,0
565192,1018,5,15-03-2013,1312,1,0,0,0,10054
18598,409,7,10-05-2015,0,0,0,0,0,0
702645,88,2,18-03-2014,728,1,1,0,0,7771
220519,693,5,08-02-2013,404,1,1,0,0,5290
309578,738,4,21-03-2013,710,1,1,0,0,8457
269215,722,1,02-09-2013,1477,1,0,0,0,8901
620330,207,3,21-01-2015,1138,1,0,0,0,8262
137282,196,6,09-11-2013,569,1,0,0,0,3539
50395,41,5,05-04-2013,291,1,0,0,1,3550
285438,964,6,27-12-2014,1366,1,0,0,0,8606
708322,949,7,13-07-2014,0,0,0,0,0,0
228824,1063,4,12-12-2013,529,1,0,0,0,4328
681709,107,3,29-01-2014,812,1,0,0,0,5938
700022,810,1,14-10-2013,443,1,0,0,1,4843
82317,976,5,20-03-2015,704,1,1,0,0,7168
563021,734,3,13-11-2013,496,1,0,0,0,4805
207487,835,4,26-09-2013,571,1,1,0,0,4280
326865,35,4,13-06-2013,635,1,0,0,0,7069
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
